"number_of_customers","city_id","city"
"1",32,"Arecibo"
"1",53,"Bandar Seri Begawan"
"1",318,"Madiun"
"1",336,"Miraj"
"1",275,"Konotop"
"1",247,"Juazeiro do Norte"
"1",260,"Kanazawa"
"1",423,"Qomsheh"
"1",136,"Datong"
"1",354,"Nagaon"
"1",442,"Saint-Denis"
"1",139,"Daxian"
"1",593,"Zanzibar"
"1",12,"al-Ayn"
"1",479,"Simferopol"
"1",293,"Laohekou"
"1",411,"Ponce"
"1",425,"Rae Bareli"
"1",495,"Southend-on-Sea"
"1",154,"El Fuerte"
"1",234,"Jamalpur"
"1",316,"Lungtan"
"1",403,"Pemalang"
"1",474,"Shimonoseki"
"1",256,"Kamakura"
"1",332,"Meixian"
"1",33,"Arlington"
"1",422,"Qinhuangdao"
"1",549,"Tychy"
"1",264,"Katihar"
"1",185,"Grand Prairie"
"1",380,"Omiya"
"1",215,"Ibirit"
"1",130,"Cuautla"
"1",23,"Amersfoort"
"1",270,"Kirovo-Tepetsk"
"1",435,"Rockford"
"1",486,"So Leopoldo"
"1",384,"Osmaniye"
"1",351,"Naala-Porto"
"1",116,"Chungho"
"1",552,"Ueda"
"1",314,"Lublin"
"1",386,"Otsu"
"1",426,"Rajkot"
"1",431,"Rio Claro"
"1",364,"Newcastle"
"1",433,"Roanoke"
"1",462,"Sanya"
"1",491,"Soshanguve"
"1",299,"Leshan"
"1",169,"Firozabad"
"1",92,"Brest"
"1",345,"Mukateve"
"1",541,"Torren"
"1",436,"Ruse"
"1",180,"Gaziantep"
"1",437,"Rustenburg"
"1",236,"Jastrzebie-Zdrj"
"1",263,"Karnal"
"1",197,"Halisahar"
"1",135,"Dallas"
"1",493,"South Hill"
"1",470,"Sharja"
"1",454,"San Miguel de Tucumn"
"1",482,"Sivas"
"1",227,"Iwakuni"
"1",500,"Stockport"
"1",478,"Siliguri (Shiliguri)"
"1",149,"Dundee"
"1",311,"Loja"
"1",577,"Wroclaw"
"1",73,"Bhavnagar"
"1",103,"Carmen"
"1",505,"Sumqayit"
"1",280,"Kragujevac"
"1",239,"Jhansi"
"1",121,"Citt del Vaticano"
"1",88,"Bradford"
"1",420,"Pyongyang"
"1",188,"Guadalajara"
"1",461,"Santo Andr"
"1",561,"Valencia"
"1",240,"Jinchang"
"1",328,"Maring"
"1",525,"Tangail"
"1",196,"Halifax"
"1",291,"Laiwu"
"1",15,"al-Qadarif"
"1",210,"Huaian"
"1",226,"Iwaki"
"1",48,"Baku"
"1",447,"Salzburg"
"1",298,"Lengshuijiang"
"1",81,"Birgunj"
"1",61,"Baybay"
"1",244,"Johannesburg"
"1",468,"Shanwei"
"1",251,"Kabul"
"1",204,"Hino"
"1",104,"Cavite"
"1",5,"Adana"
"1",171,"Fontana"
"1",456,"Santa Brbara dOeste"
"1",397,"Papeete"
"1",531,"Teboksary"
"1",427,"Rampur"
"1",347,"Mwanza"
"1",283,"Kumbakonam"
"1",546,"Tsaotun"
"1",179,"Gatineau"
"1",562,"Valle de la Pascua"
"1",297,"Le Mans"
"1",321,"Malm"
"1",361,"Nantou"
"1",303,"Liepaja"
"1",105,"Cayenne"
"1",402,"Pavlodar"
"1",472,"Shikarpur"
"1",444,"Salala"
"1",537,"Tieli"
"1",445,"Salamanca"
"1",233,"Jalib al-Shuyukh"
"1",93,"Brindisi"
"1",89,"Braslia"
"1",373,"Ocumare del Tuy"
"1",252,"Kaduna"
"1",343,"Moscow"
"1",31,"Arak"
"1",467,"Shahr-e Kord"
"1",327,"Mardan"
"1",253,"Kakamigahara"
"1",14,"al-Manama"
"1",581,"Xinxiang"
"1",109,"Changzhou"
"1",497,"Springs"
"1",155,"El Monte"
"1",133,"Czestochowa"
"1",416,"Pudukkottai"
"1",195,"Haldia"
"1",199,"Hami"
"1",372,"Nyeri"
"1",369,"Novoterkassk"
"1",441,"Saint Louis"
"1",339,"Mogiljov"
"1",600,"Ziguinchor"
"1",243,"Jodhpur"
"1",335,"Mexicali"
"1",591,"Yuzhou"
"1",383,"Oshawa"
"1",230,"Jaffna"
"1",301,"Lhokseumawe"
"1",7,"Aden"
"1",503,"Sullana"
"1",254,"Kaliningrad"
"1",377,"Okinawa"
"1",78,"Bijapur"
"1",573,"Warren"
"1",159,"Enshi"
"1",432,"Rizhao"
"1",250,"Jurez"
"1",20,"Almirante Brown"
"1",319,"Mahajanga"
"1",1,"A Corua (La Corua)"
"1",76,"Bhopal"
"1",106,"Celaya"
"1",517,"Taguig"
"1",178,"Garland"
"1",129,"Cuauhtmoc"
"1",203,"Higashiosaka"
"1",8,"Adoni"
"1",585,"Yaound"
"1",455,"Sanaa"
"1",346,"Munger (Monghyr)"
"1",71,"Berhampore (Baharampur)"
"1",370,"Nukualofa"
"1",68,"Beni-Mellal"
"1",267,"Kimberley"
"1",448,"Sambhal"
"1",80,"Binzhou"
"1",146,"Donostia-San Sebastin"
"1",396,"Pangkal Pinang"
"1",511,"Syrakusa"
"1",162,"Esfahan"
"1",132,"Cuman"
"1",514,"Tabriz"
"1",322,"Manchester"
"1",582,"Yamuna Nagar"
"1",389,"Owo"
"1",330,"Matamoros"
"1",237,"Jedda"
"1",451,"San Felipe del Progreso"
"1",262,"Kansas City"
"1",323,"Mandaluyong"
"1",337,"Mit Ghamr"
"1",348,"Mwene-Ditu"
"1",114,"Chiayi"
"1",60,"Battambang"
"1",504,"Sultanbeyli"
"1",238,"Jelets"
"1",399,"Pathankot"
"1",112,"Chatsworth"
"1",560,"Vaduz"
"1",547,"Tsuyama"
"1",518,"Taizz"
"1",268,"Kimchon"
"1",289,"La Plata"
"1",583,"Yangor"
"1",65,"Bellevue"
"1",569,"Vila Velha"
"1",124,"Coacalco de Berriozbal"
"1",452,"San Juan Bautista Tuxtepec"
"1",98,"Cabuyao"
"1",200,"Hamilton"
"1",490,"Sorocaba"
"1",527,"Tanza"
"1",235,"Jaroslavl"
"1",590,"Yuncheng"
"1",82,"Bislig"
"1",119,"Ciparay"
"1",286,"Kursk"
"1",306,"Lincoln"
"1",376,"Okayama"
"1",147,"Dos Quebradas"
"1",480,"Sincelejo"
"1",338,"Miyakonojo"
"1",202,"Hidalgo"
"1",358,"Nakhon Sawan"
"1",412,"Pontianak"
"1",79,"Bilbays"
"1",26,"Anpolis"
"1",564,"Valparai"
"1",535,"Tianjin"
"1",72,"Bern"
"1",510,"Syktyvkar"
"1",579,"Xiangtan"
"1",77,"Bhusawal"
"1",232,"Jakarta"
"1",131,"Cuernavaca"
"1",198,"Halle/Saale"
"1",17,"Alessandria"
"1",212,"Huejutla de Reyes"
"1",37,"Asuncin"
"1",28,"Aparecida de Goinia"
"1",310,"Ljubertsy"
"1",404,"Peoria"
"1",584,"Yantai"
"1",353,"Nador"
"1",489,"Songkhla"
"1",515,"Tabuk"
"1",574,"Weifang"
"1",225,"Ivanovo"
"1",83,"Blumenau"
"1",333,"Memphis"
"1",63,"Bchar"
"1",571,"Vinh"
"1",516,"Tafuna"
"1",45,"Baha Blanca"
"1",395,"Palghat (Palakkad)"
"1",216,"Idfu"
"1",174,"Fuyu"
"1",542,"Touliu"
"1",295,"Laredo"
"1",213,"Huixquilucan"
"1",134,"Dadu"
"1",274,"Kolpino"
"1",163,"Eskisehir"
"1",223,"Ipoh"
"1",352,"Nabereznyje Telny"
"1",36,"Ashqelon"
"1",221,"Imus"
"1",362,"Nanyang"
"1",430,"Richmond Hill"
"1",102,"Caracas"
"1",158,"Emmen"
"1",594,"Zaoyang"
"1",460,"Santiago de los Caballeros"
"1",533,"Tel Aviv-Jaffa"
"1",499,"Sterling Heights"
"1",265,"Kermanshah"
"1",111,"Charlotte Amalie"
"1",459,"Santiago de Compostela"
"1",16,"al-Qatif"
"1",207,"Hohhot"
"1",62,"Bayugan"
"1",123,"Clarksville"
"1",326,"Maracabo"
"1",568,"Vijayawada"
"1",385,"ostka"
"1",371,"Nuuk"
"1",492,"Sousse"
"1",544,"Toulouse"
"1",365,"Nezahualcyotl"
"1",157,"Emeishan"
"1",413,"Poos de Caldas"
"1",308,"Lipetsk"
"1",100,"Cam Ranh"
"1",183,"Goinia"
"1",150,"Dzerzinsk"
"1",140,"Dayton"
"1",248,"Juiz de Fora"
"1",137,"Daugavpils"
"1",421,"Qalyub"
"1",208,"Hoshiarpur"
"1",24,"Amroha"
"1",392,"Paarl"
"1",191,"Gulbarga"
"1",429,"Ranchi"
"1",25,"Angra dos Reis"
"1",141,"Deba Habe"
"1",122,"Ciudad del Este"
"1",94,"Brockton"
"1",218,"Ikerre"
"1",570,"Vilnius"
"1",434,"Robamba"
"1",49,"Balaiha"
"1",211,"Hubli-Dharwad"
"1",580,"Xintai"
"1",530,"Tartu"
"1",536,"Tiefa"
"1",465,"Sawhaj"
"1",449,"San Bernardino"
"1",64,"Beira"
"1",520,"Tallahassee"
"1",55,"Barcelona"
"1",184,"Gorontalo"
"1",148,"Duisburg"
"1",87,"Botshabelo"
